2019-09-12 12:08:30.141 febs [main] INFO  c.o.m.MangosteenServerApplication - Starting MangosteenServerApplication on liuxindeMacBook-Pro.local with PID 81873 (/Users/liuxin/me/Mangosteen/mangosteen-server/target/classes started by liuxin in /Users/liuxin/me/Mangosteen/mangosteen-server)
2019-09-12 12:08:35.373 febs [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.22]
2019-09-12 12:08:35.630 febs [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-09-12 12:08:35.630 febs [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 5384 ms
2019-09-12 12:08:38.233 febs [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-09-12 12:08:38.549 febs [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2019-09-12 12:08:38.955 febs [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-09-12 12:08:39.897 febs [main] INFO  o.s.s.c.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2019-09-12 12:08:40.080 febs [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2019-09-12 12:08:40.107 febs [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2019-09-12 12:08:40.183 febs [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2019-09-12 12:08:40.528 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-80"]
2019-09-12 12:08:40.566 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 80 (http) with context path ''
2019-09-12 12:08:40.571 febs [main] INFO  c.o.m.MangosteenServerApplication - Started MangosteenServerApplication in 12.198 seconds (JVM running for 21.063)
2019-09-12 12:10:28.542 febs [http-nio-80-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-09-12 12:10:28.543 febs [http-nio-80-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-09-12 12:10:28.573 febs [http-nio-80-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 30 ms
2019-09-12 12:10:51.424 febs [http-nio-80-exec-10] INFO  c.o.m.c.authentication.ShiroRealm -  Token 验证 :test
2019-09-12 12:10:53.487 febs [http-nio-80-exec-10] INFO  p6spy - 2019-09-12 12:10:53 | 耗时 24 ms | SQL 语句：
SELECT USER_ID,description,password,modify_time,email,ssex,mobile,dept_id,avatar,last_login_time,create_time,status,username FROM t_user WHERE (username = 'test');
2019-09-12 12:10:53.524 febs [http-nio-80-exec-10] INFO  c.o.m.common.authentication.JWTUtil - token is valid
2019-09-12 12:10:53.735 febs [http-nio-80-exec-10] INFO  c.o.m.core.controller.MenuController - 添加了菜单
